transaction_amount,customer_age,account_balance,transaction_hour,merchant_risk_score,failed_login_attempts,transaction_region,customer_type,payment_mode,card_type,fraud_flag
-1.1075747940947285,0.670737172342601,0.4718505157981589,0.6015232138149214,-1.4917690253413296,1.719321646212714,West,Home Office,Retail,Standard,1
1.1404885247260077,1.135740217787888,0.1196781024778907,-0.2118352970515921,0.6196813614523715,0.5083355699856096,North,Consumer,Retail,Basic,1
0.1400511264944164,2.0929253604787847,-1.1074122349443378,1.353762136435672,-1.1743818892472444,0.4582422301875332,,Corporate,Retail,Standard,1
0.6728046380187016,-0.1700057500285401,-0.7486404449039676,-1.9996767081588276,2.977399094204599,1.830470479539401,East,Home Office,Distributor,,0
1.967894368388647,0.7414603294233987,0.2377965906002457,-0.3688577539839859,-0.1928817330658607,-0.0968642504368317,South,Corporate,Distributor,Standard,1
-2.6292118356323777,1.3371466446393208,0.512148068133138,1.1619686178883015,-1.0546798749266046,2.7735708471049856,South,Home Office,Online,Standard,1
0.41027213840781,1.0101977398903674,-1.2283299237997998,0.352729461655714,1.135218338357829,-0.5182793886495859,South,Consumer,Online,Premium,0
-0.2993998169655725,-0.755247635871135,0.1868692176234242,-0.6306579920505828,0.3259794423192192,0.5022577152755641,South,Home Office,Distributor,Basic,0
0.0688346261765973,-1.040807993248179,0.8361141412385388,-0.3756000993582146,-1.1234953853511198,-0.0062326678397774,East,Home Office,Retail,Basic,0
0.718274952784369,-3.197708485619874,-1.152042403633284,-1.7172993622497907,-1.3856493852464666,-0.5519488806935282,East,Home Office,Retail,,0
-0.5533094098310753,1.319418569380204,1.900205248988668,0.9506787228803082,-0.6181607884046854,0.6890919312792004,South,Home Office,Distributor,Basic,1
-0.6386644470990606,1.6277949471358544,-0.8304696677193844,1.6299788256711176,1.058829368139696,-1.411283390913286,West,Home Office,Distributor,Basic,0
-0.1627713303871079,0.7924729358008188,-0.990777048659632,0.6785197847570981,-1.972098088976773,0.979799440419519,West,Corporate,Online,Premium,1
-0.2398985594994134,-1.1632571586790783,0.6881505663252131,0.1188047637809722,-1.2034084836302532,-0.9534333697319584,West,Corporate,Distributor,Standard,0
-2.098934915059061,0.070546725350914,-0.7167215040608113,1.3485304309555124,-2.1455623992215145,0.5945702246445184,East,Home Office,Retail,Basic,1
2.620419522720657,1.7310619142221388,-0.8347879754990358,-0.243016204710032,-1.1173483411224547,0.912091532693541,East,Consumer,Retail,Basic,1
0.6684344050498008,1.0584474224668727,1.20188703163363,0.124063659164048,-1.038213600573766,1.167206662654531,East,Home Office,Online,Premium,1
1.6096654588205108,0.6451011029408495,0.6468023878754099,-0.2088417111392043,0.368564031832147,-0.5706737112073543,West,Home Office,Distributor,Premium,1
2.146941850601121,0.3379725901664866,-0.0581864491988005,-0.9496161582473368,0.4940009929356008,0.0487605383832772,West,Corporate,Online,Basic,1
-0.5858817836750192,-0.4406256486275073,0.2258565341969526,-0.8705020491509106,1.481154431826636,1.1122093275931897,South,Consumer,Retail,Standard,0
-1.3624598041394933,1.9203427180491053,-0.7339729335342803,3.0712241134053304,-0.0416138310209932,-2.8764385036904008,East,Home Office,Online,Standard,0
2.779084147097616,1.6356573672958792,1.4357088977474288,-0.1747061160206315,0.7165036051434432,-0.7112066265654642,South,Consumer,Distributor,Basic,1
-1.2941645215267792,-0.3193849679520351,0.410766747724808,1.995869172668841,-2.196545785685611,-2.341288153619008,West,Home Office,Retail,Standard,0
0.5229529241016586,,-0.4716496339067874,0.9803596055272384,-3.676745229642795,2.4253991780164963,East,Consumer,Distributor,Premium,1
0.585224996749496,-0.1269298977413555,1.183106876510616,-1.3991992342404025,2.196443206875986,1.0725497481967676,East,Corporate,Distributor,Standard,0
-0.3143830703090101,-0.4495455309930221,-0.617594336096125,-0.5712625860001842,0.6227116261881216,0.6384867774669247,East,Corporate,Distributor,,0
-2.385315758248204,0.5024543514381532,-0.8461540926885971,0.9620154956781372,-1.035044827648483,1.7467254141590156,South,Corporate,Retail,Premium,1
-1.262344525571001,1.9446325643370896,0.2956293202913401,0.5994896483008676,0.8127733600432845,2.3031107661376904,West,Home Office,Online,Premium,1
-3.283928192546794,0.7726188602115396,0.1847238008054462,3.039901226712681,0.3219962603770566,-2.5916196218217125,South,Consumer,Distributor,Basic,0
-1.7175222915274193,-0.1888140018965336,0.7237329508502505,2.0852899368096214,-1.7671151333414663,-2.165063292864267,South,Corporate,Distributor,Standard,0
2.2800709574593707,1.6556255400279425,0.2631143123615347,-0.1951621887550079,0.7662644996902226,-0.1173934431396557,North,Consumer,Distributor,Premium,1
1.2160235222466806,1.989506844815412,0.3710351893541458,0.4658079842373405,-3.954693897181573,2.949785561773574,East,Home Office,Distributor,Standard,1
-2.571379634657178,0.4681648685361577,0.5098556958448675,2.4373915736521123,-0.7391645014500812,-1.740458398542677,East,Consumer,Distributor,Premium,0
-1.2055790798040575,1.9236797775910237,-0.3593788694409891,2.3789560127732083,0.7319211954861817,-1.9073916939785196,South,Corporate,Retail,Premium,0
0.6421090885893097,1.3720035046403654,0.7487780324236535,0.4176084916943637,-1.5452382358972008,1.2829324669106863,East,Home Office,Distributor,Standard,1
0.9342739635957408,1.8693530711706683,0.3430690474891664,0.7527832529187253,-1.1749412387308842,0.6686736805027497,North,Consumer,Online,Premium,1
1.555496235297713,-0.0109582080275401,-0.5564827048065234,-0.5996556670478365,0.2262305890244864,-0.4614648180290333,East,Consumer,Retail,Premium,1
-1.394992461567855,2.3692378236200624,-1.911503690430828,0.6081164830350849,2.7025811972791898,1.861434335017924,North,Consumer,Online,Standard,1
-1.0172607271981708,-1.3090301470832109,0.7458716879528704,-1.833007109605246,1.9249090719511104,2.2981693595558155,West,Consumer,Distributor,Standard,0
-2.630902121942716,1.8955710355909203,-1.0302072575701238,3.791096814900127,0.1435656169302732,-3.3218732653878464,North,Home Office,Retail,Standard,0
2.1243059473075925,1.7474808640872546,0.3283265980801554,-0.1119764770988948,-0.4460785568364164,0.7528810196885676,North,Home Office,Retail,Basic,1
-1.1917621883534335,2.029535648750416,0.1214357618436594,2.7295312752821235,0.1140726541956844,-2.202187194998653,East,Corporate,Retail,Standard,0
1.3052755153186508,1.0562854314164438,-0.6805658029468351,0.2376250181142047,-2.6435666417197883,1.205480740396038,South,Consumer,Retail,Standard,1
2.156003938577267,1.5651258831406971,0.2342760859979441,-0.2446168679680671,-0.0928213437305399,0.5417677605196554,West,Consumer,Retail,Standard,1
-3.3079024522864207,0.2985644998335703,-1.8831635683970984,3.0986724171557376,-1.1778447195829107,-2.452374500682482,East,Corporate,Online,Standard,0
-0.8600561109697865,-0.93172246519108,0.098747625164343,0.6661525606169516,-1.326269581206201,-1.14040309753693,North,Corporate,Distributor,Premium,0
1.0239522485726966,0.879176860603147,-2.3930439540445376,-0.0755859049073147,-1.707673889614204,1.4033445819507355,North,Corporate,Online,Basic,1
-2.885207130707096,0.1640876632714187,0.4963380128254798,3.498188005123784,-2.7880310153759678,-3.038338809855327,South,Corporate,Distributor,Standard,0
-2.273553380868699,0.5809949967421559,1.4508274133195231,0.2865496317681748,0.0770766535160663,2.6230840481656905,East,Corporate,Online,,1
-1.3837363654191952,2.178112436790868,1.5191536862464696,1.7027860585953565,0.1573860467049064,0.6028967878267951,West,Corporate,Retail,Premium,1
