average_temperature,advertising_spend,stock_available,store_visitors,holiday_index,competitor_discount_percent,warehouse_region,product_category,distribution_channel,season_type,weekly_demand
0.2923848951641699,-1.1688024199802771,0.2952199734842936,0.8518455103279404,,0.4717308113865492,East,Consumer,Online,,32.42
-0.4975248130470506,1.4374068289067805,-2.2983206261469817,-0.5487217537630308,-0.0229704220833482,0.6342600602756456,North,Corporate,Retail,Standard,-52.16
-0.1473303464734245,0.9109710668896516,-1.2873143299753034,-0.1307512470224943,-0.2946606337817944,-0.3858438379979514,West,Corporate,Retail,Basic,-42.53
1.7955395379342696,1.0791386872560609,0.118678718799564,1.1680085634627742,-0.5639786138104207,0.9991455671827888,East,Consumer,Online,Basic,195.12
0.8692265923547036,0.0637451426474252,0.0265887912174035,0.6795222773759785,0.7757999033254962,-1.6341281351933368,East,Home Office,Distributor,Basic,12.47
-0.2047663678942697,1.0073063917056797,-0.6562589139870647,2.07333250828455,1.4264517485928472,-1.019594711348881,East,Corporate,Distributor,Premium,-34.68
-0.2415460597662944,2.584324745655874,1.045727076103912,0.7026108922947403,-1.881459674918188,-0.0411509904076982,West,Corporate,Distributor,Premium,-13.46
1.1176707973624542,-1.5600890916181938,-1.2974259265508152,1.3403446131717058,-0.3346492815279325,-0.022347185054713,East,Corporate,Distributor,Standard,24.45
-0.847490364201761,0.7334580145661923,-0.4701079481415108,-1.3014316162947392,-0.4532931013797632,0.72855806665021,South,Consumer,Distributor,Standard,-50.2
-0.2504482763771954,-0.0532949970184447,-0.100998578151392,0.4754892271999133,-1.039835930416323,-0.128857000244614,East,Corporate,Online,Basic,-40.44
-2.2961223262502046,,1.084860592553245,-1.2250549465422158,0.0353378149962466,-0.439953541177736,East,Consumer,Retail,Premium,-150.45
-0.4363967130746896,0.7995397684834435,-1.848544152087379,-0.5253001498361917,1.327253948262526,-0.2894658385612584,North,Home Office,Distributor,Standard,-40.62
0.0144721676029821,1.3551280458951098,0.5522721999589729,-0.0729677690315661,-0.1662155077268796,-0.6645668489545774,East,Consumer,Distributor,Basic,-15.42
1.2705891511088918,-0.0317246689215764,-0.2285688311929044,-0.03909671425222,0.6857803503902232,-0.1300650135134694,North,Home Office,Retail,Premium,107.1
-0.020675290062675,0.0314129546018808,-1.647749365067674,1.1576999825548964,0.5068833792110075,0.446772667195665,East,Home Office,Online,Standard,1.39
-0.4341346211228449,-1.9036450581020432,3.0581325997362088,-0.6240150487898116,-0.2029650065426738,-2.6547594415623004,South,Consumer,Online,Standard,-144.88
0.441976209728244,-2.5182188440800446,2.2616422985709104,-1.0927918604236595,-0.0733080475741139,-0.6022310597724324,South,Corporate,Distributor,Basic,-20.05
-0.1869302852740479,-1.1136914868831789,-0.2635072154731075,-2.401244704863147,0.2444108455081186,-0.8593601750710577,North,Consumer,Distributor,Premium,-85.21
0.6498199393770201,-1.0652745862943347,-0.9159532031299072,0.4176467263116266,0.8009006312218799,-0.8438822631924592,West,Corporate,Retail,Premium,17.74
0.4381932173132145,-0.369739648639674,0.4058559393259209,1.2264930621900088,-0.4187565192927757,-0.2670902112019276,North,Consumer,Distributor,Premium,10.76
0.3924253455694179,-2.203286213972698,0.673656250510613,-0.1829657503582586,-1.3716288888345582,0.8108279076405022,East,Corporate,Distributor,Standard,37.42
-1.2093262977946175,0.4698622861572227,-1.2317248452660412,-1.409362828975697,1.157447468086353,0.9710695811762404,South,Consumer,Online,Premium,-39.19
0.5323682087686218,0.3327162440218494,1.8313220125745453,1.670421740533892,0.2672975829879182,-0.101164768697324,South,Consumer,Retail,Standard,94.5
0.6509572463537768,0.3841733771353757,0.6376148844576345,1.2529821314551115,0.8019562985466235,1.297807049826028,East,Corporate,Distributor,Standard,143.49
1.0162109097076122,0.7179830290234168,-0.2141029475625529,0.316356660337785,-0.5469809788981203,-2.005489221310413,South,Consumer,Retail,Standard,-23.71
-0.3360526903467034,0.1424384655014384,-1.8363725052628947,-1.2530278116696394,-0.1913159307776429,-0.0413493926369355,East,Consumer,Retail,Standard,-42.87
-0.0730203093343365,,-0.8356292212572008,0.9317556308403876,0.9927017208268836,1.3670227138206668,North,Home Office,Retail,Premium,64.62
-1.077029498416283,0.6754692460409726,0.5902793019114878,-0.166500578198194,0.0564330580608064,1.6880004122834429,North,Corporate,Distributor,Basic,12.65
0.2690686608826366,0.0043223278979093,0.5615327486817258,-0.4379868977481285,-0.6601905204803658,0.0096766904268759,East,Corporate,Distributor,Standard,4.31
1.20639380945008,0.3229210021085233,-0.2477037633288308,-0.0304609559236176,-0.642357345188861,0.3806747233523201,,Consumer,Online,Basic,103.11
1.3871565112127735,-0.7810423394160408,0.5670107852022295,1.6035706017631488,0.2335438064420268,0.0002424027125365,East,Consumer,Online,Basic,111.24
-0.0613202858735072,0.3477694090755999,-0.9434698255992168,0.8437302882660683,0.6382117000320169,-0.3825198176396264,South,Corporate,Distributor,Premium,-24.69
0.0669666529968289,-1.9413599663886465,1.153432285159364,0.6488171886689721,2.9107436877817814,0.5544631775682984,North,Home Office,Distributor,Standard,76.52
-0.3090468554473882,-0.2538726300044167,1.9185037348219232,-1.5606394902726095,0.6074627617718819,-1.773917796695236,West,Home Office,Retail,Basic,-75.75
-0.7028461431482262,1.097972181845592,0.1089758810351495,-0.2010861374381234,1.1533405177660307,1.0348187778740698,North,Home Office,Retail,Basic,33.06
1.5252949349451044,-0.0995753151760627,0.2674598017904253,2.085125580116069,0.2712242606968509,-0.845948913176469,East,Consumer,Distributor,Standard,108.84
